Metodo,Tolleranza,Iterazioni,Errore Relativo,Tempo di Calcolo (s),Convergenza
Jacobi,1e-04,236,3.32e+153,0.0030,False
Jacobi,1e-06,236,3.32e+153,0.0021,False
Jacobi,1e-08,236,3.32e+153,0.0020,False
Jacobi,1e-10,236,3.32e+153,0.0047,False
Gauss-Seidel,1e-04,20000,inf,0.2368,False
Gauss-Seidel,1e-06,20000,inf,0.1989,False
Gauss-Seidel,1e-08,20000,inf,0.2001,False
Gauss-Seidel,1e-10,20000,inf,0.2074,False
Gradiente,1e-04,20000,5.96e+152,0.2280,False
Gradiente,1e-06,20000,5.96e+152,0.2917,False
Gradiente,1e-08,20000,5.96e+152,0.2271,False
Gradiente,1e-10,20000,5.96e+152,0.2331,False
Gradiente coniugato,1e-04,434,8.90e-05,0.0040,True
Gradiente coniugato,1e-06,442,1.87e-06,0.0045,True
Gradiente coniugato,1e-08,458,1.04e-08,0.0044,True
Gradiente coniugato,1e-10,465,8.99e-09,0.0041,True
